ix,iy,icloudy,icol,irow,x,y,MASL,land_percent,nwl,wl,nip,meas_type,nbvm,sza,vza,raa,meas,ifcov,ifmp,NPIXELS,TIMESTAMP,HEIGHT_OBS,NSURF,IFGAS
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,15.906,15.576,-0.00205292,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,7.422,328.806,-0.00205247,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,12.291,256.596,0.00615827,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,22.665,239.25,-0.0010272,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,32.466,233.34,-0.00400952,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,40.9275,230.454,-0.00658969,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,48.033,228.774,-0.00887152,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,53.961,227.682,-0.0117867,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,58.9335,226.932,-0.012,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,55.8285,35.856,-0.00662281,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,50.262,34.92,-0.00412958,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,43.5975,33.504,-0.00164842,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,35.6295,31.164,-0.00113217,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,26.2755,26.718,0.000924105,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,15.906,15.576,0.000820552,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,7.422,328.806,-0.00533604,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,12.291,256.596,0.00595244,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,22.665,239.25,0.0113997,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,32.466,233.34,0.0145999,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,40.9275,230.454,0.0176089,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,48.033,228.774,0.0206342,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,53.961,227.682,0.0211961,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,43,14,41.448002,58.9335,226.932,0.0233,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,55.3538,35.7698,0.345033,0,0,4,2008-01-04T13:15:01Z,705000,0,0
